,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,playerID,name,gamesPlayed,scores,assists,goals,plusMinus,completions,completionPercentage,hockeyAssists,throwaways,stalls,drops,blocks,callahans,pulls,teams,year,pointsPlayed,oPointsPlayed,dPointsPlayed,minutesPlayed,possessions,oEfficiency,yardsTotal,yardsThrown,yardsReceived,hucksCompleted,huckPercentage,height,weight,predicted position,player_id,oscorerate,dscorerate,o_point_on_off_rating,d_point_on_off_rating,total_on_off_rating,Rating,oeff_rating,goal_rating,assist_rating,block_rating,mean_rating,composite_rating
0,0,0,0,0,0,jkorber,John Korber,12,7.25,1.58,5.67,7.17,2.92,87.5,0.0,0.5,0.0,0.25,0.67,0.0,0.0,CON,2012,,,,,,,,,,,,,,,,,,,,,,0.0,-6.189938112900149e-18,0.0,1.6363871874882412e-17,,2.5434834404955655e-18
1,1,1,1,1,1,jhelton,Jonathan Helton,16,6.13,4.0,2.13,5.5,20.44,91.6,0.0,3.25,0.0,0.25,2.88,0.0,0.0,IND,2012,,,,,,,,,,,,72.0,205.0,Cutter,,,,,,,1.695719062979708,-0.5574107635560596,0.3230960011885214,3.0256772027661287,0.6125909328763731,0.4195635751552136,0.8509883433187408
2,2,2,2,2,2,smurray,Sean Murray,16,4.38,1.69,2.69,4.88,5.81,86.92,0.0,0.88,0.0,0.06,1.44,0.0,0.0,PHS,2012,,,,,,,,,,,,,,,,,,,,,,0.0,-6.189938112900149e-18,0.0,1.6363871874882412e-17,,2.5434834404955655e-18
3,3,3,3,3,3,cbrock,Cameron Brock,16,5.31,1.38,3.94,4.56,7.13,92.68,0.0,0.94,0.0,0.31,0.5,0.0,0.0,IND,2012,,,,,,,,,,,,71.0,172.0,Cutter,,,,,,,2.296043141629862,-0.46833902786547676,4.257006871774151,-0.42817770879934086,-1.676123008611079,0.304301654571014,0.4210917816245636
4,4,4,4,4,4,rdulabon,Rob Dulabon,15,5.2,1.6,3.6,4.47,13.8,94.52,0.0,1.8,0.0,0.53,1.6,0.0,0.0,ROC,2012,,,,,,,,,,,,,,Defender,,,,,,,2.784524819125886,1.4883997495282786,0.8009070705955288,-1.1608604916889436,-0.27422344187588327,-0.05426864184100624,0.21355572163974512
5,5,5,5,5,5,jrainwate,Jake Rainwater,16,4.75,1.69,3.06,4.13,9.13,88.48,0.0,1.19,0.0,0.63,1.19,0.0,0.0,PHS,2012,,,,,,,,,,,,,,,,,,,,,,0.0,-6.189938112900149e-18,0.0,1.6363871874882412e-17,,2.5434834404955655e-18
6,6,6,6,6,6,mworsfold,Mark Worsfold,14,4.57,1.0,3.57,3.86,9.21,93.48,0.0,1.36,0.0,0.21,0.86,0.0,0.0,DET,2012,,,,,,,,,,,,,,,,,,,,,,0.0,-6.189938112900149e-18,0.0,1.6363871874882412e-17,,2.5434834404955655e-18
7,7,7,7,7,7,wmurphy,Will Murphy,5,1.2,0.2,1.0,3.4,4.2,91.3,0.0,0.6,0.0,0.2,3.0,0.0,0.0,CON,2012,,,,,,,,,,,,,,,,,,,,,,0.0,-6.189938112900149e-18,0.0,1.6363871874882412e-17,,2.5434834404955655e-18
8,8,8,8,8,8,eboucher,Evan Boucher,15,4.67,2.67,2.0,3.33,12.13,93.81,0.0,1.6,0.0,0.13,0.4,0.0,0.0,CIN,2012,,,,,,,,,,,,,,Cutter,,,,,,,2.465114672035151,1.2001815637896418,0.8238626064892205,0.5531361473994884,-0.6302747073433967,0.1347287662009691,0.48672640258373845
9,9,9,9,9,9,bkragt,Brian Kragt,13,4.31,2.08,2.23,3.31,10.62,92.62,0.0,1.69,0.0,0.23,0.92,0.0,0.0,DET,2012,,,,,,,,,,,,,,,,,,,,,,0.0,-6.189938112900149e-18,0.0,1.6363871874882412e-17,,2.5434834404955655e-18
10,10,10,10,10,10,nbotti,Nate Botti,16,4.94,2.81,2.13,3.31,16.19,90.24,0.0,1.75,0.0,0.38,0.5,0.0,0.0,CLB,2012,,,,,,,,,,,,,,Cutter,,,,,,,0.2401507298004098,-0.31444540161249873,-0.7284491605966462,2.8376921094389345,-0.34204555547982834,0.2657253646869991,0.3631879979374903
11,11,11,11,11,11,plindsey,Patrick Lindsey,11,2.0,0.36,1.64,3.18,2.55,90.32,0.0,0.27,0.0,0.09,1.55,0.0,0.0,PHS,2012,,,,,,,,,,,,,,Defender,,,,,,,-0.7105743922272322,-0.3721788715126582,-0.21353201196962507,-0.3544549162927404,-0.35698978276691384,-0.05812796832292957,-0.32428889563548435
12,12,12,12,12,12,bayres,Ben Ayres,15,4.73,1.87,2.87,3.13,16.33,94.96,0.0,2.0,0.0,0.67,1.07,0.0,0.0,DET,2012,,,,,,,,,,,,,,,,,,,,,,0.0,-6.189938112900149e-18,0.0,1.6363871874882412e-17,,2.5434834404955655e-18
13,13,13,13,13,13,jouellett,Joe Ouellette,9,1.89,0.44,1.44,3.11,5.22,95.92,0.0,0.56,0.0,0.11,1.89,0.0,0.0,CON,2012,,,,,,,,,,,,70.0,160.0,Defender,,,,,,,1.6798651847235124,1.5436563757654236,-0.2886635930357886,0.3529743372379683,-1.2390964500997614,-0.014003041369574998,0.09221766746696047
14,14,14,14,14,14,mpannone,Mike Pannone,11,2.55,0.82,1.73,3.09,9.36,95.37,0.0,1.36,0.0,0.18,2.09,0.0,0.0,ROC,2012,,,,,,,,,,,,73.0,165.0,Defender,,,,,,,2.7988858892162334,2.195483694370233,0.3056258669876035,-0.17256634330023154,1.1568747295282336,0.06502835255714373,0.8713544868964597
15,15,15,15,15,15,jherman,Jake Herman,16,3.63,1.25,2.38,3.06,5.69,87.5,0.0,0.81,0.0,0.06,0.31,0.0,0.0,PHS,2012,,,,,,,,,,,,,,,,,,,,,,0.0,-6.189938112900149e-18,0.0,1.6363871874882412e-17,,2.5434834404955655e-18
16,16,16,16,16,16,tmeyers,Timmy Meyers,16,4.0,1.88,2.13,3.06,9.13,87.95,0.0,1.25,0.0,0.5,0.81,0.0,0.0,CLB,2012,,,,,,,,,,,,,,,,,,,,,,0.0,-6.189938112900149e-18,0.0,1.6363871874882412e-17,,2.5434834404955655e-18
