,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,playerID,name,gamesPlayed,scores,assists,goals,plusMinus,completions,completionPercentage,hockeyAssists,throwaways,stalls,drops,blocks,callahans,pulls,yardsTotal,yardsThrown,yardsReceived,hucksCompleted,huckPercentage,minutesPlayed,possessions,oEfficiency,pointsPlayed,oPointsPlayed,dPointsPlayed,position,height,weight,Rating,oeff_rating,goal_rating,assist_rating,block_rating,mean_rating,composite_rating
0,0,0,0,tdegirola,Tyler DeGirolamo,29,8.52,4.93,3.59,7.62,24.03,93.18,2.62,1.41,0.0,0.55,1.07,0.0,0.07,,,,,,23.12,31.41,54.12,25.72,19.41,6.31,Cutter,,,4.356072934652198,1.949871188629562,1.7913087940193104,4.060234530385719,1.4466814154559882,0.7065698139592252,2.312023982122645
1,1,1,1,jkorber,John Korber,12,7.25,1.58,5.67,7.17,2.92,,0.0,0.5,0.0,0.25,0.67,0.0,0.0,,,,,,0.0,0.0,,22.17,13.17,9.0,,,,,0.0,-6.189938112900149e-18,0.0,1.6363871874882412e-17,,2.5434834404955655e-18
2,2,2,2,jhron,James Hron,23,6.48,2.39,4.09,7.09,14.7,95.21,0.65,0.61,0.04,0.39,1.61,0.0,0.13,,,,,,12.81,15.65,48.33,22.83,16.87,5.96,Defender,,,2.0342774232898697,0.18614132379836631,1.4489676590527987,0.762556757006725,1.1633860379034586,0.28087281689039073,0.8902629444403372
3,3,3,3,lmarx,Leandro Marx,14,8.79,4.71,4.07,6.64,28.86,90.58,3.14,2.36,0.07,0.43,0.64,0.0,1.71,617.21,189.79,427.43,1.57,73.33,31.09,36.57,46.88,30.14,27.21,2.93,Cutter,,,1.7492001185727566,0.29267289223240545,2.4998620615501164,3.2722530132143173,-0.7264313781625176,0.6042834126084372,1.3345891472085802
4,4,4,4,mfreystae,Mischa Freystaetter,64,6.41,2.45,3.95,6.02,17.11,93.83,2.27,0.86,0.02,0.47,0.94,0.0,0.02,282.0,86.5,195.5,0.0,,24.26,27.33,53.46,25.05,16.66,8.39,Cutter,79.0,205.0,1.5088037863292867,0.43919709544105445,3.5570349871159266,1.0076320031947272,1.0752427736775876,0.5032020984378015,1.5197767148573238
5,5,5,5,rosgar,Ryan Osgar,65,7.14,4.65,2.49,5.97,26.14,94.76,2.31,1.31,0.03,0.25,0.38,0.0,0.0,499.0,229.21,269.79,1.72,81.71,22.45,27.38,57.75,21.68,20.48,1.2,Cutter,73.0,170.0,3.5002091410202443,0.9696791452130208,0.5832838490760103,5.532692139114217,-0.6706355676595384,0.6902320660333308,1.6037548914359276
6,6,6,6,qbonnaud,Quentin Bonnaud,42,6.1,1.5,4.6,5.9,14.52,93.27,1.69,0.81,0.0,0.33,0.95,0.0,0.0,291.4,52.2,239.2,0.4,,22.2,28.36,46.43,22.21,18.64,3.57,Cutter,69.0,160.0,1.0110096148937386,-0.0572633142402869,6.234808074285176,-0.9865383109841733,1.5561590024805176,0.538309053124982,1.6867913628853084
7,7,7,7,jkerr,Jordan Kerr,37,6.86,4.32,2.54,5.89,24.38,93.28,1.92,1.41,0.0,0.22,0.65,0.0,0.03,432.73,212.89,219.84,0.84,83.78,23.25,27.22,57.0,23.51,21.46,2.05,Cutter,,,1.7149197294647136,-0.07633995348347622,0.5048710024631261,4.291240527888635,0.7222889633111034,0.5876771271146886,1.3605151350448472
8,8,8,8,rillian,Ray Illian,11,5.55,2.18,3.36,5.73,10.91,91.6,1.18,0.73,0.0,0.55,1.45,0.0,0.18,,,,,,20.81,27.45,55.3,23.27,15.91,7.36,Defender,,,3.3660549590547784,1.0999433760845179,1.7125117525774798,0.39812261556749584,0.917048000610656,0.25438315560628755,1.0319064362100374
9,9,9,9,bjagt,Ben Jagt,105,6.12,2.87,3.26,5.7,14.24,89.63,1.48,1.46,0.02,0.33,1.36,0.02,3.09,349.93,88.02,261.9,0.49,54.05,24.88,25.11,52.56,24.36,13.21,11.15,Defender,78.0,188.0,3.824980601823024,0.40307591149294386,3.8313385899250543,2.5826710494094947,2.395471029237334,0.7587446709429359,2.303139145016207
